type
cropland
wetland
deforested_area
forest
cropland
settlement
wetland
deforested_area
cropland
settlement
cropland
settlement
settlement
deforested_area
cropland
cropland
wetland
cropland
grassland
forest
deforested_area
grassland
settlement
settlement
forest
cropland
cropland
forest
settlement
cropland
settlement
grassland
cropland
grassland
cropland
deforested_area
grassland
grassland
wetland
grassland
cropland
forest
wetland
grassland
grassland
settlement
cropland
settlement
cropland
cropland
grassland
settlement
cropland
cropland
deforested_area
grassland
cropland
grassland
forest
forest
forest
bare_land
settlement
other
cropland
deforested_area
settlement
cropland
settlement
cropland
settlement
cropland
bare_land
grassland
cropland
grassland
settlement
forest
cropland
grassland
forest
cropland
settlement
deforested_area
forest
deforested_area
cropland
bare_land
cropland
settlement
cropland
grassland
settlement
bare_land
other
forest
settlement
other
cropland
wetland
cropland
settlement
grassland
grassland
cropland
settlement
cropland
cropland
cropland
grassland
cropland
settlement
grassland
cropland
bare_land
wetland
grassland
bare_land
bare_land
settlement
forest
cropland
settlement
bare_land
cropland
cropland
wetland
forest
grassland
grassland
cropland
cropland
forest
grassland
deforested_area
forest
settlement
cropland
grassland
wetland
forest
settlement
settlement
settlement
cropland
forest
bare_land
other
bare_land
forest
forest
forest
cropland
wetland
cropland
cropland
settlement
settlement
grassland
wetland
deforested_area
settlement
deforested_area
grassland
wetland
settlement
cropland
forest
grassland
cropland
grassland
cropland
cropland
cropland
